customer_id,transaction_id,amount_inr,payment_method,status,failure_reason,customer_tenure_months,historical_success_rate,previous_failures_count,customer_lifetime_value_inr,engagement_score,churn_probability,days_since_previous_payment,recovered
CUST-00078,TX-100077,7561.34,WALLET,FAILED,Payment method declined,55,0.6208,6,84202.08,0.748,0.3051,5,1
CUST-00079,TX-100078,528.2,NET_BANKING,FAILED,Network timeout,50,0.7278,8,157545.3,0.8517,0.2183,53,0
CUST-00080,TX-100079,13955.88,NET_BANKING,FAILED,Expired card,32,0.8252,0,159355.46,0.3608,0.3665,90,1
CUST-00081,TX-100080,835.02,CREDIT_CARD,FAILED,Payment method declined,52,0.6553,2,118054.73,0.4455,0.397,29,0
CUST-00082,TX-100081,18056.78,UPI,FAILED,Network timeout,8,0.835,2,64714.07,0.5937,0.3196,54,0
CUST-00083,TX-100082,12951.9,CREDIT_CARD,FAILED,Insufficient funds,36,0.6136,3,88269.43,0.9283,0.2776,36,0
CUST-00084,TX-100083,7814.62,WALLET,FAILED,Network timeout,51,0.7734,0,136952.24,0.4234,0.3414,85,1
CUST-00085,TX-100084,23354.88,DEBIT_CARD,FAILED,Insufficient funds,23,0.6963,8,105639.9,0.498,0.4044,74,0
CUST-00086,TX-100085,16760.38,DEBIT_CARD,FAILED,Invoice payment overdue,21,0.8777,6,241511.63,0.505,0.3055,64,1
CUST-00087,TX-100086,22805.82,DEBIT_CARD,FAILED,Temporary payment authorization failure,22,0.9327,7,23332.92,0.2788,0.3528,53,0
CUST-00088,TX-100087,10238.34,UPI,FAILED,Temporary payment authorization failure,51,0.9764,5,82581.98,0.6924,0.1356,87,1
CUST-00089,TX-100088,1379.53,DEBIT_CARD,FAILED,Temporary payment authorization failure,46,0.9405,7,60734.14,0.8892,0.0948,81,1
CUST-00090,TX-100089,17745.33,NET_BANKING,FAILED,Temporary payment authorization failure,6,0.7409,1,16267.79,0.8007,0.3023,22,0
CUST-00091,TX-100090,4066.46,NET_BANKING,FAILED,Network timeout,51,0.5747,5,47891.99,0.4961,0.4253,73,1
CUST-00092,TX-100091,14787.35,NET_BANKING,FAILED,Insufficient funds,40,0.9332,3,7302.37,0.5932,0.2125,82,1
CUST-00093,TX-100092,4370.4,UPI,FAILED,Payment method declined,52,0.7547,4,174126.81,0.7353,0.2409,76,0
CUST-00094,TX-100093,21406.72,DEBIT_CARD,FAILED,Temporary payment authorization failure,30,0.9219,3,248209.55,0.9895,0.0966,49,1
CUST-00095,TX-100094,14365.26,CREDIT_CARD,FAILED,Invoice payment overdue,19,0.5597,6,226219.06,0.4168,0.5146,78,0
CUST-00096,TX-100095,5158.23,DEBIT_CARD,FAILED,Expired card,50,0.9015,5,14658.53,0.373,0.2903,81,0
CUST-00097,TX-100096,2708.27,UPI,FAILED,Expired card,51,0.744,5,137154.9,0.7786,0.2333,54,1
CUST-00098,TX-100097,6795.77,UPI,FAILED,Payment method declined,24,0.7836,4,23448.34,0.8561,0.2294,44,1
CUST-00099,TX-100098,20212.4,CREDIT_CARD,FAILED,Expired card,49,0.9753,6,116422.58,0.9641,0.0445,51,1
CUST-01000,TX-100099,20649.22,CREDIT_CARD,FAILED,Expired card,44,0.8796,4,221637.54,0.6618,0.2113,87,1
CUST-00101,TX-100100,16067.4,UPI,FAILED,Payment method declined,36,0.6943,3,236834.08,0.7116,0.3091,84,1
CUST-00102,TX-100101,22237.85,NET_BANKING,FAILED,Insufficient funds,20,0.9882,1,175638.58,0.2768,0.3263,59,0
CUST-00103,TX-100102,16545.59,WALLET,FAILED,Payment method declined,35,0.7344,2,174118.76,0.8995,0.2229,53,1
CUST-00104,TX-100103,2934.19,UPI,FAILED,Invoice payment overdue,14,0.7451,3,19834.77,0.8758,0.2603,70,0
CUST-00105,TX-100104,20692.68,DEBIT_CARD,FAILED,Temporary payment authorization failure,18,0.6335,1,17391.74,0.9497,0.2892,83,0
CUST-00106,TX-100105,5527.54,DEBIT_CARD,FAILED,Network timeout,22,0.6572,2,85497.09,0.8217,0.3143,76,0
CUST-00107,TX-100106,24608.69,WALLET,FAILED,Insufficient funds,10,0.897,0,217279.73,0.419,0.3433,33,1
CUST-00108,TX-100107,886.64,CREDIT_CARD,FAILED,Expired card,9,0.5565,3,187687.99,0.6652,0.4461,17,0
CUST-00109,TX-100108,3171.82,DEBIT_CARD,FAILED,Network timeout,31,0.7472,5,217410.32,0.6055,0.3254,79,0
CUST-00110,TX-100109,12235.06,NET_BANKING,FAILED,Payment method declined,34,0.6827,0,113672.77,0.2481,0.481,88,0
CUST-00111,TX-100110,7237.89,WALLET,FAILED,Invoice payment overdue,58,0.5855,2,151361.0,0.2519,0.4931,71,0
CUST-00112,TX-100111,17693.6,WALLET,FAILED,Invoice payment overdue,19,0.7496,6,106384.32,0.2784,0.4586,28,0
CUST-00113,TX-100112,8157.43,UPI,FAILED,Expired card,53,0.7495,6,121195.63,0.7764,0.2277,48,0
CUST-00114,TX-100113,18742.43,DEBIT_CARD,FAILED,Expired card,6,0.916,1,142612.43,0.5412,0.2968,72,0
CUST-00115,TX-100114,23557.68,CREDIT_CARD,FAILED,Payment method declined,43,0.6038,5,146590.04,0.8901,0.2847,37,1
CUST-00116,TX-100115,3151.35,UPI,FAILED,Network timeout,14,0.6181,7,202769.24,0.3772,0.5047,15,0
CUST-00117,TX-100116,23262.57,UPI,FAILED,Invoice payment overdue,55,0.7968,8,80701.25,0.2207,0.3928,4,0
CUST-00118,TX-100117,14374.87,CREDIT_CARD,FAILED,Payment method declined,22,0.7045,2,27480.63,0.8872,0.2653,19,0
CUST-00119,TX-100118,4356.53,UPI,FAILED,Expired card,34,0.6447,6,43117.08,0.5584,0.3933,73,0
CUST-00120,TX-100119,16717.5,WALLET,FAILED,Payment method declined,49,0.8218,1,130524.84,0.415,0.3211,57,1
CUST-00121,TX-100120,15031.79,UPI,FAILED,Network timeout,23,0.7392,4,18421.58,0.7358,0.2976,6,0
CUST-00122,TX-100121,19221.94,UPI,FAILED,Expired card,14,0.6826,3,48045.23,0.8062,0.3191,16,0
CUST-00123,TX-100122,20917.18,CREDIT_CARD,FAILED,Expired card,25,0.7843,3,9591.68,0.5952,0.3186,51,1
CUST-00124,TX-100123,14548.29,NET_BANKING,FAILED,Invoice payment overdue,59,0.5843,5,84568.2,0.6548,0.3511,38,1
CUST-00125,TX-100124,23034.36,NET_BANKING,FAILED,Temporary payment authorization failure,52,0.967,7,133370.82,0.8573,0.0814,14,1
CUST-00126,TX-100125,19588.39,WALLET,FAILED,Temporary payment authorization failure,26,0.933,5,226951.07,0.375,0.3123,82,0
CUST-00127,TX-100126,4087.88,DEBIT_CARD,FAILED,Insufficient funds,23,0.7045,2,23461.55,0.3867,0.4388,78,0
CUST-00128,TX-100127,19116.99,WALLET,FAILED,Payment method declined,50,0.8263,7,216740.48,0.796,0.1836,83,0
CUST-00129,TX-100128,11334.1,UPI,FAILED,Expired card,41,0.6891,7,81049.92,0.2539,0.4638,76,0
CUST-00130,TX-100129,2379.91,WALLET,FAILED,Temporary payment authorization failure,29,0.5665,5,140807.51,0.857,0.3401,77,0
CUST-00131,TX-100130,20340.49,DEBIT_CARD,FAILED,Invoice payment overdue,51,0.8751,0,239641.98,0.5553,0.2393,42,1
CUST-00132,TX-100131,2566.06,DEBIT_CARD,FAILED,Invoice payment overdue,29,0.5955,5,112658.34,0.9761,0.2825,6,0
CUST-00133,TX-100132,7430.89,UPI,FAILED,Payment method declined,34,0.8183,5,163589.81,0.4946,0.3202,87,0
CUST-00134,TX-100133,7461.6,WALLET,FAILED,Invoice payment overdue,5,0.6951,8,39649.95,0.7359,0.3518,20,0
CUST-00135,TX-100134,17866.43,UPI,FAILED,Temporary payment authorization failure,23,0.6865,6,204230.27,0.3019,0.4784,72,0
CUST-00136,TX-100135,16926.17,UPI,FAILED,Network timeout,43,0.8592,8,57477.2,0.2738,0.3599,3,1
CUST-00137,TX-100136,4296.16,CREDIT_CARD,FAILED,Expired card,50,0.764,3,221502.13,0.99,0.15,65,0
CUST-00138,TX-100137,4279.19,WALLET,FAILED,Insufficient funds,3,0.8412,2,94253.36,0.6718,0.2972,22,1
CUST-00139,TX-100138,18933.58,DEBIT_CARD,FAILED,Payment method declined,47,0.6545,7,197170.71,0.6824,0.3229,69,0
CUST-00140,TX-100139,14475.28,NET_BANKING,FAILED,Payment method declined,58,0.9174,5,107571.9,0.7359,0.1412,37,1
CUST-00141,TX-100140,1778.41,UPI,FAILED,Payment method declined,11,0.9094,2,131397.8,0.8897,0.1701,71,0
CUST-00142,TX-100141,22680.0,NET_BANKING,FAILED,Insufficient funds,8,0.6754,2,115526.36,0.4155,0.4698,12,1
CUST-00143,TX-100142,12799.17,NET_BANKING,FAILED,Insufficient funds,23,0.9594,6,233052.35,0.2421,0.3493,11,1
CUST-00144,TX-100143,3871.19,NET_BANKING,FAILED,Expired card,54,0.8645,5,119931.98,0.8252,0.1457,90,0
CUST-00145,TX-100144,5783.54,WALLET,FAILED,Insufficient funds,40,0.5523,1,75584.89,0.215,0.5543,78,1
CUST-00146,TX-100145,19950.53,CREDIT_CARD,FAILED,Payment method declined,20,0.6036,3,136333.18,0.5317,0.4486,15,0
CUST-00147,TX-100146,7636.16,WALLET,FAILED,Temporary payment authorization failure,41,0.7768,3,167770.97,0.7677,0.2357,46,1
CUST-00148,TX-100147,13388.46,WALLET,FAILED,Network timeout,6,0.7803,5,15665.93,0.2535,0.4721,71,0
CUST-00149,TX-100148,9248.8,UPI,FAILED,Temporary payment authorization failure,25,0.9817,4,194017.84,0.7904,0.1418,31,1
CUST-00150,TX-100149,13877.34,DEBIT_CARD,FAILED,Invoice payment overdue,48,0.8829,2,159775.28,0.235,0.3522,88,0
CUST-00151,TX-100150,5438.98,CREDIT_CARD,FAILED,Insufficient funds,52,0.6093,7,247335.06,0.2292,0.498,41,0
CUST-00152,TX-100151,5182.03,CREDIT_CARD,FAILED,Expired card,35,0.7583,0,95164.7,0.7951,0.2463,84,1
CUST-00153,TX-100152,9972.8,NET_BANKING,FAILED,Insufficient funds,57,0.726,7,132222.58,0.9068,0.1883,89,0
CUST-00154,TX-100153,15260.11,WALLET,FAILED,Insufficient funds,52,0.5863,6,166925.21,0.2624,0.499,38,1
CUST-00155,TX-100154,11375.76,CREDIT_CARD,FAILED,Payment method declined,20,0.7462,6,161669.98,0.3316,0.4402,46,0
CUST-00156,TX-100155,10452.15,DEBIT_CARD,FAILED,Network timeout,51,0.9671,1,196421.43,0.7302,0.1275,4,0
CUST-00157,TX-100156,9475.05,WALLET,FAILED,Payment method declined,3,0.6055,3,237461.76,0.815,0.3767,5,0
CUST-00158,TX-100157,13471.77,UPI,FAILED,Payment method declined,24,0.7453,1,11348.77,0.6534,0.3214,84,0
CUST-00159,TX-100158,3385.14,NET_BANKING,FAILED,Expired card,12,0.7696,6,229537.33,0.9217,0.2341,28,1
CUST-00160,TX-100159,11575.05,NET_BANKING,FAILED,Invoice payment overdue,32,0.6381,2,246710.79,0.8737,0.2899,12,0
CUST-00161,TX-100160,7613.88,DEBIT_CARD,FAILED,Expired card,43,0.7029,1,129645.16,0.6345,0.3197,90,0
CUST-00162,TX-100161,12603.54,WALLET,FAILED,Expired card,8,0.9835,2,140153.5,0.387,0.3103,74,0
CUST-00163,TX-100162,24990.08,NET_BANKING,FAILED,Invoice payment overdue,40,0.9391,1,145850.62,0.4443,0.2613,68,1
CUST-00164,TX-100163,17162.67,DEBIT_CARD,FAILED,Expired card,9,0.9778,1,241734.83,0.5555,0.2528,71,1
CUST-00165,TX-100164,13193.5,DEBIT_CARD,FAILED,Expired card,28,0.7713,0,89775.66,0.8568,0.2292,21,0
CUST-00166,TX-100165,16058.9,UPI,FAILED,Network timeout,34,0.9438,1,27889.96,0.398,0.2849,17,0
CUST-00167,TX-100166,15799.74,UPI,FAILED,Network timeout,42,0.6242,2,24899.6,0.3352,0.4694,73,0
CUST-00168,TX-100167,19290.5,WALLET,FAILED,Payment method declined,42,0.8892,4,138666.48,0.7144,0.1909,82,0
CUST-00169,TX-100168,20280.06,UPI,FAILED,Payment method declined,42,0.9709,7,112703.35,0.3935,0.2583,59,1
CUST-00170,TX-100169,8158.27,UPI,FAILED,Invoice payment overdue,31,0.7544,5,95782.35,0.6793,0.2957,45,1
CUST-00171,TX-100170,7053.06,DEBIT_CARD,FAILED,Insufficient funds,36,0.5967,3,216720.14,0.5685,0.4128,13,0
CUST-00172,TX-100171,23376.91,UPI,FAILED,Invoice payment overdue,27,0.6592,2,131107.59,0.8426,0.2975,25,0
CUST-00173,TX-100172,23658.2,NET_BANKING,FAILED,Network timeout,32,0.9368,7,17382.4,0.2183,0.355,31,1
CUST-00174,TX-100173,700.35,NET_BANKING,FAILED,Temporary payment authorization failure,32,0.8129,7,192144.91,0.4257,0.3506,18,0
CUST-00175,TX-100174,5269.05,UPI,FAILED,Network timeout,24,0.5699,0,139714.99,0.6505,0.4189,10,0
CUST-00176,TX-100175,2868.7,UPI,FAILED,Expired card,53,0.9852,1,53769.18,0.3016,0.2642,72,0
CUST-00177,TX-100176,3857.39,NET_BANKING,FAILED,Expired card,33,0.7266,0,131298.9,0.2358,0.4628,67,0
CUST-00178,TX-100177,24770.09,UPI,FAILED,Invoice payment overdue,21,0.9598,5,135423.26,0.3284,0.3222,76,0
CUST-00179,TX-100178,9524.77,CREDIT_CARD,FAILED,Invoice payment overdue,46,0.7977,7,182704.43,0.8444,0.1891,54,0
CUST-00180,TX-100179,16561.98,WALLET,FAILED,Network timeout,45,0.8269,7,46775.46,0.4098,0.3268,30,0
CUST-00181,TX-100180,17177.81,WALLET,FAILED,Temporary payment authorization failure,41,0.8673,6,81854.66,0.3167,0.3438,90,1
CUST-00182,TX-100181,19486.82,CREDIT_CARD,FAILED,Payment method declined,10,0.7317,3,249540.1,0.5242,0.3974,18,0
CUST-00183,TX-100182,11761.76,UPI,FAILED,Network timeout,31,0.7812,5,181626.52,0.9558,0.1841,70,0
CUST-00184,TX-100183,5210.47,UPI,FAILED,Insufficient funds,42,0.9036,4,245653.77,0.682,0.1943,72,0
CUST-00185,TX-100184,12480.58,UPI,FAILED,Payment method declined,50,0.6772,3,71997.1,0.7453,0.2834,72,0
CUST-00186,TX-100185,24513.93,DEBIT_CARD,FAILED,Expired card,8,0.8023,8,24362.21,0.5,0.3704,38,0
CUST-00187,TX-100186,5742.68,UPI,FAILED,Network timeout,60,0.7446,4,155840.87,0.7904,0.2138,72,1
CUST-00188,TX-100187,13510.52,DEBIT_CARD,FAILED,Invoice payment overdue,38,0.6553,0,120738.96,0.7292,0.321,7,1
CUST-00189,TX-100188,24458.81,NET_BANKING,FAILED,Insufficient funds,44,0.8891,0,121974.89,0.962,0.101,84,0
CUST-00190,TX-100189,16324.5,WALLET,FAILED,Temporary payment authorization failure,13,0.8826,4,234484.0,0.4537,0.3341,30,0
CUST-00191,TX-100190,4806.82,NET_BANKING,FAILED,Temporary payment authorization failure,59,0.9554,6,218711.22,0.897,0.0622,64,0
CUST-00192,TX-100191,15268.18,UPI,FAILED,Expired card,19,0.9358,0,126008.54,0.4357,0.3011,59,1
CUST-00193,TX-100192,20315.94,DEBIT_CARD,FAILED,Expired card,9,0.9245,7,8450.63,0.4155,0.3311,59,0
CUST-00194,TX-100193,21475.59,NET_BANKING,FAILED,Payment method declined,22,0.8979,3,28369.35,0.3386,0.351,66,1
CUST-00195,TX-100194,9897.57,UPI,FAILED,Payment method declined,9,0.7601,3,7801.75,0.2054,0.4951,43,0
CUST-00196,TX-100195,3396.51,DEBIT_CARD,FAILED,Expired card,42,0.7082,3,222511.35,0.2491,0.4533,52,0
CUST-00197,TX-100196,23545.57,WALLET,FAILED,Expired card,50,0.6868,1,42530.46,0.7046,0.2923,29,1
CUST-00198,TX-100197,13956.25,WALLET,FAILED,Payment method declined,48,0.9851,5,171683.77,0.5285,0.1932,86,0
CUST-00199,TX-100198,13440.24,CREDIT_CARD,FAILED,Expired card,39,0.9342,1,226207.6,0.6152,0.2059,73,0
CUST-00200,TX-100199,21434.91,CREDIT_CARD,FAILED,Payment method declined,13,0.802,2,27280.7,0.33,0.4217,88,0
CUST-00201,TX-100200,13074.57,WALLET,FAILED,Payment method declined,33,0.746,0,80501.54,0.5582,0.3393,8,0
CUST-00202,TX-100201,14668.63,NET_BANKING,FAILED,Temporary payment authorization failure,2,0.7242,0,19762.63,0.7892,0.3221,45,1
CUST-00203,TX-100202,10517.24,NET_BANKING,FAILED,Insufficient funds,58,0.5804,7,218056.97,0.2251,0.5053,48,0
CUST-00204,TX-100203,16713.92,DEBIT_CARD,FAILED,Network timeout,59,0.7161,1,248247.46,0.7394,0.249,84,1
CUST-00205,TX-100204,19026.4,NET_BANKING,FAILED,Expired card,26,0.7827,3,97922.73,0.8595,0.2254,87,1
CUST-00206,TX-100205,5117.77,CREDIT_CARD,FAILED,Invoice payment overdue,15,0.6589,5,192683.1,0.3225,0.4997,5,0
CUST-00207,TX-100206,2971.97,NET_BANKING,FAILED,Temporary payment authorization failure,57,0.9412,3,64959.87,0.3628,0.2604,77,0
CUST-00208,TX-100207,18982.45,DEBIT_CARD,FAILED,Temporary payment authorization failure,3,0.727,3,229517.27,0.6264,0.3759,65,1
CUST-00209,TX-100208,21968.33,WALLET,FAILED,Invoice payment overdue,37,0.6903,5,141395.94,0.3872,0.4231,29,1
